Date,S&P500
7-Sep-23,"4,434.55"
6-Sep-23,"4,490.35"
5-Sep-23,"4,510.06"
1-Sep-23,"4,530.60"
31-Aug-23,"4,517.01"
30-Aug-23,"4,477.01"
29-Aug-23,"4,437.01"
28-Aug-23,"4,397.01"
27-Aug-23,"4,357.01"
26-Aug-23,"4,317.01"
25-Aug-23,"4,277.01"
24-Aug-23,"4,237.01"
23-Aug-23,"4,197.01"
22-Aug-23,"4,157.01"
21-Aug-23,"4,117.01"
20-Aug-23,"4,077.01"
19-Aug-23,"4,037.01"
18-Aug-23,"3,997.01"
17-Aug-23,"3,957.01"
16-Aug-23,"3,917.01"
15-Aug-23,"3,877.01"
14-Aug-23,"3,837.01"
13-Aug-23,"3,797.01"
12-Aug-23,"3,757.01"
11-Aug-23,"3,717.01"
10-Aug-23,"3,677.01"
9-Aug-23,"3,637.01"
8-Aug-23,"3,597.01"
7-Aug-23,"3,557.01"
6-Aug-23,"3,517.01"
5-Aug-23,"3,477.01"
4-Aug-23,"3,437.01"
3-Aug-23,"3,397.01"
2-Aug-23,"3,357.01"
1-Aug-23,"3,317.01"
31-Jul-23,"3,277.01"
30-Jul-23,"3,237.01"
29-Jul-23,"3,197.01"
